,LISTING_URL,BRAND,PRICE,DEPRE_VALUE_PER_YEAR,REG_DATE,MILEAGE_KM,MANUFACTURED_YEAR,ROAD_TAX_PER_YEAR,TRANSMISSION,DEREG_VALUE_FROM_SCRAPE_DATE,SCRAPE_DATE,OMV,ARF,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE
94,https://www.sgcarmart.com/used_cars/info.php?ID=1083149&DL=2792,Toyota,67777,8980,25-Jan-19,16640,2019,182,Auto,15872,18/4/2022,13936,13936,8000,2466,1496,1085,1,Mid-Sized Sedan
95,https://www.sgcarmart.com/used_cars/info.php?ID=1090231&DL=3214,Audi,106800,12380,8-Dec-10,94000,2010,3233,Auto,34511,18/4/2022,58603,58603,40014,3132,3197,1795,2,SUV
96,https://www.sgcarmart.com/used_cars/info.php?ID=1090182&DL=3381,Audi,39800,14660,30-Jun-14,98000,2014,624,Auto,23454,18/4/2022,27209,15093,67290,791,1395,1310,3,Luxury Sedan
97,https://www.sgcarmart.com/used_cars/info.php?ID=1067154&DL=2029,Honda,95800,9930,9-Sep-21,,2019,578,Auto,46215,18/4/2022,15982,5000,45189,3406,1317,1030,1,Hatchback
98,https://www.sgcarmart.com/used_cars/info.php?ID=998926&DL=2085,Toyota,55868,11690,22-Apr-16,71000,2016,742,Auto,31559,18/4/2022,17982,17982,47300,1463,1598,1205,1,Mid-Sized Sedan
99,https://www.sgcarmart.com/used_cars/info.php?ID=1090359&DL=1213,Mercedes-Benz,329800,31160,20-Aug-21,7535,2021,1202,Auto,110406,18/4/2022,58583,77450,56001,3406,1991,1635,1,Sports Car
100,https://www.sgcarmart.com/used_cars/info.php?ID=1082597&DL=3426,Mercedes-Benz,183800,19080,18-Dec-20,22538,2020,586,Auto,66496,18/4/2022,31871,36620,45012,3139,1332,1485,1,SUV
101,https://www.sgcarmart.com/used_cars/info.php?ID=1084152&DL=2690,Subaru,118800,14590,18-Nov-19,36718,2019,1208,Auto,42481,18/4/2022,16157,16157,40009,2735,1995,1591,1,SUV
102,https://www.sgcarmart.com/used_cars/info.php?ID=1090838&DL=1000,Toyota,56888,8080,3-Jun-09,146500,2008,887,Auto,18423,18/4/2022,13738,13738,26175,2557,1495,1150,3,SUV
103,https://www.sgcarmart.com/used_cars/info.php?ID=1074660&DL=2015,Toyota,96800,12900,29-Jun-18,54800,2018,1792,Auto,47523,18/4/2022,29723,33613,37000,2250,2494,1475,1,Luxury Sedan
104,https://www.sgcarmart.com/used_cars/info.php?ID=1090178&DL=4109,Toyota,58000,9290,14-Jul-08,,2008,1694,Auto,23022,18/4/2022,26497,26497,36888,2255,1998,1530,3,Luxury Sedan
105,https://www.sgcarmart.com/used_cars/info.php?ID=1076310&DL=2469,Lexus,50800,10520,14-Feb-07,,2007,2700,Auto,25140,18/4/2022,36637,40301,52077,1736,2500,1625,5,Luxury Sedan
106,https://www.sgcarmart.com/used_cars/info.php?ID=1065452&DL=1136,Toyota,56800,12440,27-Jan-16,93000,2015,742,Auto,31984,18/4/2022,19589,19589,51000,1373,1598,1205,1,Mid-Sized Sedan
107,https://www.sgcarmart.com/used_cars/info.php?ID=1090132&DL=1135,Honda,30900,16090,20-Mar-09,,2008,1369,Auto,6341,18/4/2022,21196,21196,16509,396,1799,1350,3,MPV
108,https://www.sgcarmart.com/used_cars/info.php?ID=1090901&DL=2852,Toyota,22900,9790,20-Aug-09,153426,2009,889,Auto,6862,18/4/2022,12717,12717,14664,851,1497,1095,3,Mid-Sized Sedan
109,https://www.sgcarmart.com/used_cars/info.php?ID=1087832&DL=1194,Hyundai,67800,9500,7-Nov-18,,2018,738,Auto,24965,18/4/2022,10937,10937,25556,2379,1591,1345,3,Mid-Sized Sedan
110,https://www.sgcarmart.com/used_cars/info.php?ID=1069128&DL=1400,BMW,182800,16240,28-Jan-22,20,2021,684,Auto,97302,18/4/2022,39886,47841,82501,3564,1499,1435,1,SUV
111,https://www.sgcarmart.com/used_cars/info.php?ID=1035856&DL=2410,Bentley,286800,30150,21-Nov-11,61000,2011,7781,Auto,57631,18/4/2022,204569,204569,60586,3467,5998,2320,2,Sports Car
112,https://www.sgcarmart.com/used_cars/info.php?ID=1073445&DL=1127,BMW,154800,14990,23-Mar-21,,2020,684,Auto,69857,18/4/2022,35546,41765,49489,2954,1499,1375,1,Luxury Sedan
113,https://www.sgcarmart.com/used_cars/info.php?ID=1076409&DL=1094,BMW,176800,26760,30-Nov-16,89976,2016,1210,Auto,98959,18/4/2022,74664,106396,53001,1671,1998,1680,1,Luxury Sedan
114,https://www.sgcarmart.com/used_cars/info.php?ID=1090502&DL=2224,Lexus,111800,19040,17-Jan-17,94000,2016,1792,Auto,51833,18/4/2022,36195,42673,46229,1709,2494,1615,2,Luxury Sedan
